date,price,volume
"Jul 2, 2024 9:26 AM","INR ₹3,123.05",1K
"Jul 2, 2024 9:27 AM","INR ₹3,126.00",1.5K
"Jul 2, 2024 9:28 AM","INR ₹3,127.05",810
"Jul 2, 2024 9:29 AM","INR ₹3,122.30",755
"Jul 2, 2024 9:30 AM","INR ₹3,121.60",623
"Jul 2, 2024 9:31 AM","INR ₹3,116.65",718
"Jul 2, 2024 9:32 AM","INR ₹3,119.30",1.1K
"Jul 2, 2024 9:33 AM","INR ₹3,122.00",831
"Jul 2, 2024 9:34 AM","INR ₹3,123.90",387
"Jul 2, 2024 9:35 AM","INR ₹3,120.00",620
"Jul 2, 2024 9:36 AM","INR ₹3,120.00",866
"Jul 2, 2024 9:27 AM",INR ₹29.17,43
"Jul 2, 2024 9:28 AM",INR ₹29.15,73
"Jul 2, 2024 9:29 AM",INR ₹29.11,794
"Jul 2, 2024 9:30 AM",INR ₹29.09,1.2K
"Jul 2, 2024 9:31 AM",INR ₹29.07,289
"Jul 2, 2024 9:32 AM",INR ₹29.07,1.6K
"Jul 2, 2024 9:33 AM",INR ₹29.08,1.1K
"Jul 2, 2024 9:34 AM",INR ₹29.06,100
"Jul 2, 2024 9:35 AM",INR ₹29.07,534
"Jul 2, 2024 9:36 AM",INR ₹29.05,634
"Jul 2, 2024 9:37 AM",INR ₹29.08,815
"Jul 2, 2024 9:26 AM","INR ₹4,007.00",656
"Jul 2, 2024 9:27 AM","INR ₹4,008.00",1.1K
"Jul 2, 2024 9:28 AM","INR ₹4,009.95",667
"Jul 2, 2024 9:29 AM","INR ₹4,007.10",551
"Jul 2, 2024 9:30 AM","INR ₹4,004.15",729
"Jul 2, 2024 9:31 AM","INR ₹4,002.95",704
"Jul 2, 2024 9:32 AM","INR ₹4,002.75",823
"Jul 2, 2024 9:33 AM","INR ₹4,004.35",622
"Jul 2, 2024 9:34 AM","INR ₹4,002.40",1K
"Jul 2, 2024 9:35 AM","INR ₹4,002.05",571
"Jul 2, 2024 9:36 AM","INR ₹4,000.00",620
"Jul 2, 2024 9:37 AM","INR ₹4,001.45",510
"Jul 2, 2024 9:26 AM","INR ₹1,604.40",2.2K
"Jul 2, 2024 9:27 AM","INR ₹1,603.55",1.5K
"Jul 2, 2024 9:28 AM","INR ₹1,607.00",1.9K
"Jul 2, 2024 9:29 AM","INR ₹1,608.05",2.8K
"Jul 2, 2024 9:30 AM","INR ₹1,606.60",2.1K
"Jul 2, 2024 9:31 AM","INR ₹1,605.65",1.7K
"Jul 2, 2024 9:32 AM","INR ₹1,604.80",1.4K
"Jul 2, 2024 9:33 AM","INR ₹1,605.80",1.9K
"Jul 2, 2024 9:34 AM","INR ₹1,604.00",1.5K
"Jul 2, 2024 9:35 AM","INR ₹1,604.65",1.1K
"Jul 2, 2024 9:36 AM","INR ₹1,603.00",1.1K
"Jul 2, 2024 9:37 AM","INR ₹1,604.50",1.4K
